"agency_name","rocket_name","rocket_family","rocket_length","rocket_diameter","rocket_launch_mass","rocket_low_earth_orbit_capacity","rocket_description"
SpaceX,Falcon 9 Block 5 – SpaceX,"Falcon","70 m","3.65 m",549 T,"22800 kg",The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 132 successful launches and 0 failed launches with a total of 132 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability.
China Aerospace Science and Technology Corporation,"Long March 4C – China Aerospace Science and Technology Corporation",Long March 4,"unknown","unknown","unknown","unknown","The Long March 4C was manufactured by China Aerospace Science and Technology Corporation with the first launch on . Long March 4C has 45 successful launches and 2 failed launches with a total of 47 launches. The Long March 4C, also known as the Chang Zheng 4C, CZ-4C and LM-4C, previously designated Long March 4B-II, is a Chinese orbital carrier rocket. It is launched from the Jiuquan, Taiyuan Satellite Launch Centre and Xichangs, and consists of 3 stages. Long March 4C vehicles have been used to launch the Yaogan-1, Yaogan-3 SAR satellites and the Fengyun-3A polar orbiting meteorological satellite. On December 15, 2009 a Long March 4C was used to launch Yaogan 8."
"Arianespace",Ariane 5 ECA+ – ArianeGroup,Ariane 5,"57.7 m","5.4 m","780 T","unknown","The Ariane 5 ECA+ was manufactured by ArianeGroup with the first launch on 2019-08-07. Ariane 5 ECA+ has 8 successful launches and 0 failed launches with a total of 8 launches. Ariane 5 ECA+ is a variant of the Ariane 5 heavy-lift vehicle, with a taller ECA-D upper stage."
"ABL Space Systems","RS1 – ABL Space Systems",RS,"26.8 m","1.83 m","unknown","unknown","Low Earth Orbit Capacity: 1350 kg"
"LandSpace",Zhuque-2 – LandSpace,Zhuque,"unknown","unknown","unknown","unknown","Low Earth Orbit Capacity: 4000 kg"
"SpaceX","Falcon 9 Block 5 – SpaceX","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 132 successful launches and 0 failed launches with a total of 132 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability."
"Rocket Lab Ltd","Electron – Rocket Lab Ltd","Electron","18 m","1.2 m","13 T","300 kg","The Electron was manufactured by Rocket Lab Ltd with the first launch on 2017-05-25. Electron has 29 successful launches and 3 failed launches with a total of 32 launches. Electron is a two-stage orbital expendable launch vehicle (with an optional third stage) developed by the American aerospace company Rocket Lab. Electron is a small-lift launch vehicle designed to launch small satellites and cubesats to sun-synchronous orbit and low earth orbit. The Electron is the first orbital class rocket to use electric-pump-fed engines, powered by the 9 Rutherford engines on the first stage."
"SpaceX","Falcon 9 Block 5 – SpaceX","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 132 successful launches and 0 failed launches with a total of 132 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability."
"SpaceX","Falcon 9 Block 5 – SpaceX","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 132 successful launches and 0 failed launches with a total of 132 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability."
"Arianespace","Vega-C – Avio S.p.A","Vega","30.1 m","3 m","136 T","1500 kg","The Vega-C was manufactured by Avio S.p.A with the first launch on 2022-07-13. Vega-C has 1 successful launches and 0 failed launches with a total of 1 launches."
"SpaceX","Falcon 9 Block 5 – SpaceX","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 132 successful launches and 0 failed launches with a total of 132 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability."
